品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25225621850,PVｼｮｰﾄEG(M),,15.0,,,,×,,,×,12700,2024-03-18,,,2024-03-14,4,2024-03-14 11:31:00-->2024-03-14 13:07:00,2024-03-18,〇,×,A,127,96,"6,000","8,000",2024-03-14 11:31:00,2024-03-14 13:07:00,Thursday
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),,15.0,,,,×,,,×,12700,2024-03-18,,,2024-03-14,5,2024-03-14 13:37:00-->2024-03-14 15:13:00,2024-03-18,,×,A,132,96,"5,800","8,000",2024-03-14 13:37:00,2024-03-14 15:13:00,Thursday
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),,10.0,,,,×,,,×,12700,2024-03-18,,,2024-03-14,6,2024-03-14 15:43:00-->2024-03-14 18:05:00,2024-03-18,〇,×,A,189,142,"4,050","5,400",2024-03-14 15:43:00,2024-03-14 18:05:00,Thursday
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,15.0,,〇,,×,,〇,○,12700,2024-03-18,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-14,7,2024-03-14 18:25:00-->2024-03-14 20:58:00,2024-03-15,〇,○,A,127,153,"6,000","5,000",2024-03-14 18:25:00,2024-03-14 20:58:00,Thursday
25716121850,ｼﾞｴﾐﾆNTR(M),,15.0,,,,○,,,×,10000,2024-03-18,,,2024-03-15,1,2024-03-15 07:20:00-->2024-03-15 08:46:00,2024-03-18,,×,A,0,86,-,"7,000",2024-03-15 07:20:00,2024-03-15 08:46:00,Friday
25213221830,ﾁｴｽﾀ-77(M),,15.0,,〇,,×,,,×,6000,2024-03-22,,,2024-03-15,2,2024-03-15 10:16:00-->2024-03-15 11:01:00,2024-03-21,〇,×,A,60,45,"6,000","8,000",2024-03-15 10:16:00,2024-03-15 11:01:00,Friday
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),,16.5,,,,×,,,×,12700,2024-03-18,,,2024-03-15,3,2024-03-15 11:21:00-->2024-03-15 12:57:00,2024-03-18,〇,×,A,127,96,"6,000","8,000",2024-03-15 11:21:00,2024-03-15 12:57:00,Friday
25222123040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,20.0,,,,×,,,×,5000,2024-03-21,,,2024-03-15,4,2024-03-15 13:17:00-->2024-03-15 13:55:00,2024-03-21,〇,×,A,50,38,"6,000","8,000",2024-03-15 13:17:00,2024-03-15 13:55:00,Friday
25224321040,PVｼｮｰﾄ(B) (4),,15.0,,,,×,,,×,12700,2024-03-21,,,2024-03-15,5,2024-03-15 14:15:00-->2024-03-15 15:57:00,2024-03-21,〇,×,A,142,102,"5,400","7,500",2024-03-15 14:15:00,2024-03-15 15:57:00,Friday
26632521020,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),,15.0,,,,×,,,×,6000,2024-03-21,,,2024-03-15,6,2024-03-15 16:27:00-->2024-03-15 17:12:00,2024-03-21,,×,A,60,45,"6,000","8,000",2024-03-15 16:27:00,2024-03-15 17:12:00,Friday
25566421000,FCｼｮｰﾄﾆﾝｸﾞ,,15.0,,,,×,,,×,12700,2024-03-19,,,2024-03-15,7,2024-03-15 17:42:00-->2024-03-15 19:18:00,2024-03-19,〇,×,A,153,96,"5,000","8,000",2024-03-15 17:42:00,2024-03-15 19:18:00,Friday
25220821830,PVｼｮｰﾄ(B)-L (S),,15.0,,,,×,,,×,4000,2024-03-21,,,2024-03-15,8,2024-03-15 19:38:00-->2024-03-15 20:08:00,2024-03-21,〇,×,A,48,30,"5,000","8,000",2024-03-15 19:38:00,2024-03-15 20:08:00,Friday
