繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_rate/hr,SP_time_taken,SV_rate/hr,SV_time_taken,slot,ライン,備考,流速,生産日,順番
,,25138421830,15.0,5000,2024-02-24,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-02-23,×,"6,000",0.0,"8,000",38.0,,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25138421830,15.0,5000,2024-02-28,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-02-28,×,"6,000",0.0,"8,000",38.0,,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25138421830,15.0,5000,2024-03-30,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-03-29,×,"6,000",0.0,"8,000",38.0,,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25138421830,15.0,5000,2024-04-26,,ISｼｮｰﾄﾆﾝｸﾞ(S),,,,,,,,,,,,,準高,,,×,,2024-04-26,×,"6,000",0.0,"8,000",38.0,,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,,,
,,25805121000,15.0,5000,2024-02-16,,MB-ﾓ-ｾﾞﾙSC,,,,,,,,,,,〇,,高,,,,,2024-02-15,×,-,0.0,8000,38.0,,,,,,
,,25719621870,15.0,9000,2024-03-04,,AKK-Ⅱ(H),,,,,,,,,,,,,低,,,×,,2024-03-04,×,"6,000",0.0,"8,000",68.0,,,,,,
,,25719621870,15.0,9000,2024-06-10,,AKK-Ⅱ(H),,,,,,,,,,,,,低,,,×,,2024-06-10,×,"6,000",0.0,"8,000",68.0,,,,,,
,,25211321040,15.0,4000,2024-02-29,,ﾋﾞｸﾄﾘ-ｼｮｰﾄ (4),,,,,,,,,,,〇,,,,,×,,2024-02-28,×,"5,800",0.0,"8,000",30.0,,,,,,
,,25211321040,15.0,4000,2024-02-27,,ﾋﾞｸﾄﾘ-ｼｮｰﾄ (4),,,,,,,,,,,〇,,,,,×,,2024-02-26,×,"5,800",0.0,"8,000",30.0,,,,,,
,,25270521000,15.0,4000,2024-02-17,,ﾌｱﾝﾄﾑ1050,,,,,,,,,,,,,,,,×,,2024-02-16,○,-,0.0,"7,500",32.0,,,,,,
,,25270521000,15.0,20000,2024-06-08,,ﾌｱﾝﾄﾑ1050,,,,,,,,,,,,,,,,×,,2024-06-07,○,-,0.0,"7,500",160.0,,,,,,
,,25105621000,15.0,6000,2024-04-06,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-04-05,×,"5,000",0.0,"8,000",45.0,,,,,,
,,25105621000,15.0,6000,2024-04-25,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-04-25,×,"5,000",0.0,"8,000",45.0,,,,,,
,,25105621000,15.0,12700,2024-04-19,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-04-19,×,"5,000",0.0,"8,000",96.0,,,,,,
,,25105621000,15.0,6000,2024-05-27,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-05-27,×,"5,000",0.0,"8,000",45.0,,,,,,
,,25105621000,15.0,6000,2024-06-08,,ﾊﾟﾈﾘ-PV(12),,,,,,,,,,,,,,,,×,,2024-06-07,×,"5,000",0.0,"8,000",45.0,,,,,,
,,25117722830,15.0,6000,2024-04-08,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-08,×,"6,000",0.0,"8,000",45.0,,,,,,
,,25117722830,15.0,6000,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-11,×,"6,000",0.0,"8,000",45.0,,,,,,
,,25117722830,15.0,6000,2024-05-10,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-05-10,×,"6,000",0.0,"8,000",45.0,,,,,,
,,25117722830,15.0,6000,2024-04-27,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-26,×,"6,000",0.0,"8,000",45.0,,,,,,
,,25118721810,15.0,4000,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF(SS),,,,,,,,,,,,,準高,,,×,,2024-04-11,×,"5,800",0.0,"8,000",30.0,,,,,,
,,25118721830,15.0,6000,2024-04-22,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-22,×,"5,800",0.0,"8,000",45.0,,,,,,
,,25118721830,15.0,6000,2024-04-26,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-26,×,"5,800",0.0,"8,000",45.0,,,,,,
,,25118721830,15.0,6000,2024-04-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-30,×,"5,800",0.0,"8,000",45.0,,,,,,
,,25120028810,15.0,6000,2024-02-21,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),,,,,,,,〇,,,,,,,,×,,2024-02-21,×,"5,000",0.0,"8,000",45.0,,,副原料無添,,,
,,25120028810,15.0,6000,2024-03-19,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),,,,,,,,〇,,,,,,,,×,,2024-03-19,×,"5,000",0.0,"8,000",45.0,,,副原料無添,,,
,,25120028810,15.0,6000,2024-05-20,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),,,,,,,,〇,,,,,,,,×,,2024-05-20,×,"5,000",0.0,"8,000",45.0,,,副原料無添,,,
,,25120028830,15.0,25400,2024-02-26,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-02-26,×,"5,000",0.0,"8,000",191.0,,,副原料無添,,,
,,25120028830,15.0,25400,2024-02-29,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-02-29,×,"5,000",0.0,"8,000",191.0,,,副原料無添,,,
,,25120028830,15.0,25400,2024-03-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-11,×,"5,000",0.0,"8,000",191.0,,,副原料無添,,,
,,25120028830,15.0,50800,2024-03-18,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-18,×,"5,000",0.0,"8,000",381.0,,,副原料無添,,,
,,25120028830,15.0,25400,2024-03-25,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-25,×,"5,000",0.0,"8,000",191.0,,,副原料無添,,,
,,25120028830,15.0,50800,2024-03-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-29,×,"5,000",0.0,"8,000",381.0,,,副原料無添,,,
,,25120028830,15.0,25400,2024-04-04,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-04,×,"5,000",0.0,"8,000",191.0,,,副原料無添,,,
,,25120028830,15.0,38100,2024-04-08,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-08,×,"5,000",0.0,"8,000",286.0,,,副原料無添,,,
,,25120028830,15.0,38100,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-11,×,"5,000",0.0,"8,000",286.0,,,副原料無添,,,
