繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_time_taken,SV_time_taken,slot,チケットNO,ライン,予定数量,備考,流速,生産日,順番
,,25118721830,15.0,,2024-04-26,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-26,×,45.0,45.0,,,,6000.0,,,,
,,25118721830,15.0,,2024-04-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,,,,,,,,,,,,,,×,,2024-04-30,×,45.0,45.0,,,,6000.0,,,,
,,25120028810,15.0,,2024-02-21,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),,,,,,,,〇,,,,,,,,×,,2024-02-21,×,45.0,45.0,,,,6000.0,副原料無添,,,
,,25120028810,15.0,,2024-03-19,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),,,,,,,,〇,,,,,,,,×,,2024-03-19,×,45.0,45.0,,,,6000.0,副原料無添,,,
,,25120028810,15.0,,2024-05-20,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),,,,,,,,〇,,,,,,,,×,,2024-05-20,×,45.0,45.0,,,,6000.0,副原料無添,,,
,,25120028830,15.0,,2024-02-26,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-02-26,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-02-26,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-02-26,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-02-29,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-02-29,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-02-29,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-02-29,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-03-25,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-25,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-03-25,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-25,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-03-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-29,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-03-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-29,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-03-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-29,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-03-30,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-03-29,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-04,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-04,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-04,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-04,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-08,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-08,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-08,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-08,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-08,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-08,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-11,×,96.0,96.0,,,,12700.0,副原料無添,,,
,,25120028830,15.0,,2024-04-11,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,,,,,,〇,,,,,,,,×,,2024-04-11,×,96.0,96.0,,,,12700.0,副原料無添,,,
