品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220623,K-202205-1453,副原料添加なし初回限定,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220623,K-202205-1452,副原料添加なし初回限定,,,
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12200,20220624,K-202206-0302,,,,
25224321050,PVｼﾖ-ﾄ(B) (5),1205,ＳＶ,15,8000,,,,,,,12700,20220625,K-202205-1484,,,,
25224122020,ｱﾒﾘｶｰﾅV,1205,ＳＶ,10,5400,,,,,,,12700,20220625,K-202205-1482,,,,
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15,8000,,,,〇,,,12700,20220625,K-202205-0915,副原料添加なし初回限定,,,
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,20220625,K-202205-1512,,,,
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12700,20220627,K-202205-1540,,,,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,20220627,K-202205-1497,,,,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,20220627,K-202205-1496,,,,
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15,8000,,,,,,,12700,20220627,K-202205-1486,,,,
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,20220627,K-202205-1502,,,,
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,20220627,K-202205-1509,,,,
25230924890,ﾁｴｽﾀ-2000 10K (HH),1205,ＳＶ,10,5400,〇,,,,,,12700,20220627,K-202205-1490,,,,
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,20220627,K-202205-1513,,,,
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12700,20220628,K-202205-1535,,,,
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,20220628,K-202205-1550,副原料添加なし初回限定,,,
25126221000,ｽﾃｲﾔ-SA,1205,ＳＶ,15,6500,,高沃素価,,,〇,,12700,20220628,K-202205-1464,最終限定,,,
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15,8000,〇,,,,,,12700,20220630,K-202205-1481,,,,
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220630,K-202205-1547,副原料添加なし初回限定,,,
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,20220630,K-202205-1530,副原料添加多く初回限定,,,
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,20220630,K-202205-1531,副原料添加多く初回限定,,,
25225621870,PVｼﾖ-ﾄEG(H),1205,ＳＶ,15,8000,,,,,,,6000,20220630,K-202205-1487,,,,
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,20220630,K-202205-1503,,,,
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,20220630,K-202205-1510,,,,
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15,8000,,低沃素価,,,,,12700,20220630,K-202205-1476,,,,
25212521030,ｼﾖｰﾄﾆﾝｸﾞFJP DIR(3),1205,ＳＶ,15,8000,,,,,,,8000,20220630,K-202205-1474,,,,
25130921830,ｼﾖ-ﾄﾆﾝｸﾞAM DIR(S),1205,ＳＶ,15,8000,,,,,,,12700,20220630,K-202205-1465,,,,
25217722000,ﾁｪｽﾀｰLPV-TL2(18K),1205,ＳＶ,18,8000,〇,,,,,,12700,20220630,K-202205-1477,,,,
25221523060,ﾆﾕ-ｼﾖ-ﾄ(C)10K(6),1205,ＳＶ,10,5400,,,,,,,8000,20220630,K-202206-0039,,,,
25105621000,ﾊﾟﾈﾘ-PV(12),1205,ＳＶ,15,8000,,,,,,,6000,20220630,K-202205-1442,,,,
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10,5400,,,,〇,,,12700,20220630,K-202205-1468,副原料添加なし初回限定,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220630,K-202205-1454,副原料添加なし初回限定,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220630,K-202205-1455,副原料添加なし初回限定,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220630,K-202205-1456,,,,
25118721830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF (S),1205,ＳＶ,15,8000,,,,,,,6000,20220630,K-202205-1445,,,,
25118721810,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF(SS),1205,ＳＶ,15,8000,,,,,,,4000,20220630,K-202205-1444,,,,
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10,5400,,,,,,,6000,20220630,K-202205-1521,,,,
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12700,20220701,K-202205-1536,,,,
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,1205,ＳＶ,15,8000,〇,,,,〇,〇,11600,20220701,K-202206-0225,MO-7S添加品,,,
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12700,20220704,K-202205-1537,,,,
