繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
2024-02-23 00:00:00,2024-02-05,25211321040,15.0,4000,20240229,,ﾋﾞｸﾄﾘ-ｼｮｰﾄ (4),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,〇,〇,,,×,×,
2024-02-27 00:00:00,2024-02-21,25211321040,15.0,4000,20240227,,ﾋﾞｸﾄﾘ-ｼｮｰﾄ (4),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,〇,〇,,,×,×,
,2024-02-05,25270521000,15.0,4000,20240217,,ﾌｱﾝﾄﾑ1050,15.0,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
,2024-05-15,25270521000,15.0,20000,20240608,,ﾌｱﾝﾄﾑ1050,15.0,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
,2024-02-06,25105621000,15.0,6000,20240304,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-02-15,25105621000,15.0,6000,20240309,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-03-18,25105621000,15.0,6000,20240406,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-04-03,25105621000,15.0,6000,20240425,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-04-11,25105621000,15.0,12700,20240419,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-04-22,25105621000,15.0,6000,20240527,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-05-09,25105621000,15.0,6000,20240608,,ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
,2024-02-06,25117722830,15.0,6000,20240311,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-27,25117722830,15.0,6000,20240408,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-13,25117722830,15.0,6000,20240411,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-03,25117722830,15.0,6000,20240510,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-09,25117722830,15.0,6000,20240427,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-06,25118721810,15.0,4000,20240304,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF(SS),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,準高,,×,×,
,2024-03-18,25118721810,15.0,4000,20240411,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF(SS),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,準高,,×,×,
,2024-02-06,25118721830,15.0,6000,20240311,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-02-14,25118721830,15.0,6000,20240304,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-03-18,25118721830,15.0,6000,20240422,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-04-02,25118721830,15.0,6000,20240426,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-04-03,25118721830,15.0,6000,20240430,,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-02-06,25120028810,15.0,6000,20240221,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25120028810,15.0,6000,20240319,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-22,25120028810,15.0,6000,20240520,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(SS),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028830,15.0,25400,20240226,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
