品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1462,副原料添加なし初回限定,2022-06-22,2,2022-06-22 10:51:00-->2022-06-22 12:27:00,2022-06-23
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1451,副原料添加なし初回限定,2022-06-22,3,2022-06-22 12:47:00-->2022-06-22 14:23:00,2022-06-23
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1453,副原料添加なし初回限定,2022-06-22,4,2022-06-22 14:43:00-->2022-06-22 16:19:00,2022-06-23
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1452,副原料添加なし初回限定,2022-06-22,5,2022-06-22 16:39:00-->2022-06-22 18:15:00,2022-06-23
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-25,K-202205-0915,副原料添加なし初回限定,2022-06-22,6,2022-06-22 18:35:00-->2022-06-22 20:11:00,2022-06-24
25316621830,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-22,K-202205-1523,,2022-06-22,7,2022-06-22 20:31:00-->2022-06-22 21:38:00,2022-06-22
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1497,,2022-06-23,1,2022-06-23 07:20:00-->2022-06-23 08:56:00,2022-06-24
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1496,,2022-06-23,2,2022-06-23 09:16:00-->2022-06-23 10:52:00,2022-06-24
25230924890,ﾁｴｽﾀ-2000 10K (HH),1205,ＳＶ,10.0,5400,〇,,,,,,12700,2022-06-27,K-202205-1490,,2022-06-23,3,2022-06-23 11:12:00-->2022-06-23 13:34:00,2022-06-24
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-07-01,K-202205-1536,,2022-06-23,4,2022-06-23 13:54:00-->2022-06-23 15:30:00,2022-06-24
25224321050,PVｼﾖ-ﾄ(B) (5),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-25,K-202205-1484,,2022-06-23,5,2022-06-23 15:50:00-->2022-06-23 17:26:00,2022-06-24
25224122020,ｱﾒﾘｶｰﾅV,1205,ＳＶ,10.0,5400,,,,,,,12700,2022-06-25,K-202205-1482,,2022-06-23,6,2022-06-23 17:46:00-->2022-06-23 20:08:00,2022-06-24
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1486,,2022-06-23,7,2022-06-23 20:28:00-->2022-06-23 22:04:00,2022-06-27
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-25,K-202205-1512,,2022-06-24,1,2022-06-24 07:20:00-->2022-06-24 08:56:00,2022-06-24
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-07-04,K-202205-1537,,2022-06-24,2,2022-06-24 09:16:00-->2022-06-24 10:52:00,2022-06-27
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-30,K-202205-1481,,2022-06-24,3,2022-06-24 11:12:00-->2022-06-24 12:48:00,2022-06-29
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-27,K-202205-1509,,2022-06-24,4,2022-06-24 13:08:00-->2022-06-24 14:44:00,2022-06-27
25217722000,ﾁｪｽﾀｰLPV-TL2(18K),1205,ＳＶ,18.0,8000,〇,,,,,,12700,2022-06-30,K-202205-1477,,2022-06-24,5,2022-06-24 15:04:00-->2022-06-24 16:40:00,2022-06-29
25225621870,PVｼﾖ-ﾄEG(H),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-30,K-202205-1487,,2022-06-24,6,2022-06-24 17:00:00-->2022-06-24 17:45:00,2022-06-30
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-30,K-202205-1510,,2022-06-24,7,2022-06-24 18:05:00-->2022-06-24 19:41:00,2022-06-30
25212521030,ｼﾖｰﾄﾆﾝｸﾞFJP DIR(3),1205,ＳＶ,15.0,8000,,,,,,,8000,2022-06-30,K-202205-1474,,2022-06-24,8,2022-06-24 20:01:00-->2022-06-24 21:01:00,2022-06-30
25130921830,ｼﾖ-ﾄﾆﾝｸﾞAM DIR(S),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-30,K-202205-1465,,2022-06-24,9,2022-06-24 21:21:00-->2022-06-24 22:57:00,2022-06-30
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-28,K-202205-1550,副原料添加なし初回限定,2022-06-27,1,2022-06-27 07:20:00-->2022-06-27 10:31:00,2022-06-28
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-30,K-202205-1547,副原料添加なし初回限定,2022-06-27,2,2022-06-27 10:51:00-->2022-06-27 12:27:00,2022-06-30
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-30,K-202205-1468,副原料添加なし初回限定,2022-06-27,3,2022-06-27 12:47:00-->2022-06-27 15:09:00,2022-06-30
