品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25316621830,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-22,K-202205-1523,,2022-06-20 00:00:00,7,2022-06-20 20:34:00-->2022-06-20 21:41:00,2022-06-22
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,KI(テンパー品),,,,10000,2022-06-22,K-202205-1524,,2022-06-22 00:00:00,1,2022-06-22 07:20:00-->2022-06-22 08:46:00,2022-06-22
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,KI(テンパー品),,,,10000,2022-06-22,K-202205-1525,,2022-06-22 00:00:00,2,2022-06-22 09:06:00-->2022-06-22 10:32:00,2022-06-22
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15.0,7000,,,KI(テンパー品),,,,10000,2022-06-22,K-202205-1526,,2022-06-22 00:00:00,3,2022-06-22 12:30:00-->2022-06-22 14:16:00,2022-06-22
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1540,,2022-06-22 00:00:00,4,2022-06-22 15:36:00-->2022-06-22 17:12:00,2022-06-24
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1497,,2022-06-22 00:00:00,5,2022-06-22 17:32:00-->2022-06-22 19:08:00,2022-06-24
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-27,K-202205-1496,,2022-06-22 00:00:00,6,2022-06-22 19:28:00-->2022-06-22 21:04:00,2022-06-24
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,1205,ＳＶ,15.0,8000,〇,,,,〇,〇,11600,2022-07-01,K-202206-0225,MO-7S添加品,2022-06-22 00:00:00,7,2022-06-22 21:24:00-->2022-06-22 22:51:00,2022-06-24
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-23,K-202205-1549,副原料添加なし初回限定,2022-06-23 00:00:00,1,2022-06-23 07:20:00-->2022-06-23 10:31:00,2022-06-23
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1462,副原料添加なし初回限定,2022-06-23 00:00:00,2,2022-06-23 12:30:00-->2022-06-23 14:26:00,2022-06-23
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1451,副原料添加なし初回限定,2022-06-23 00:00:00,3,2022-06-23 14:46:00-->2022-06-23 16:22:00,2022-06-23
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1453,副原料添加なし初回限定,2022-06-23 00:00:00,4,2022-06-23 16:42:00-->2022-06-23 18:18:00,2022-06-23
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-23,K-202205-1452,副原料添加なし初回限定,2022-06-23 00:00:00,5,2022-06-23 18:38:00-->2022-06-23 20:14:00,2022-06-23
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-25,K-202205-0915,副原料添加なし初回限定,2022-06-23 00:00:00,6,2022-06-23 20:34:00-->2022-06-23 22:10:00,2022-06-24
25224321050,PVｼﾖ-ﾄ(B) (5),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-25,K-202205-1484,,2022-06-24 00:00:00,1,2022-06-24 07:20:00-->2022-06-24 08:56:00,2022-06-24
25224122020,ｱﾒﾘｶｰﾅV,1205,ＳＶ,10.0,5400,,,,,,,12700,2022-06-25,K-202205-1482,,2022-06-24 00:00:00,2,2022-06-24 12:30:00-->2022-06-24 15:12:00,2022-06-24
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-25,K-202205-1512,,2022-06-24 00:00:00,3,2022-06-24 15:32:00-->2022-06-24 17:08:00,2022-06-24
25230924890,ﾁｴｽﾀ-2000 10K (HH),1205,ＳＶ,10.0,5400,〇,,,,,,12700,2022-06-27,K-202205-1490,,2022-06-24 00:00:00,4,2022-06-24 17:28:00-->2022-06-24 19:50:00,2022-06-24
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-07-01,K-202205-1536,,2022-06-24 00:00:00,5,2022-06-24 20:10:00-->2022-06-24 21:46:00,2022-06-24
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-07-04,K-202205-1537,,2022-06-24 00:00:00,6,2022-06-24 21:20:00-->2022-06-24 22:56:00,2022-06-27
