品目コード,品名,ライン,ライン名,入目,流速,テンパリング,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,窒素ガス,KI製品,MO-7S配合,アレルゲン
25230924890,ﾁｴｽﾀ-2000 10K (HH),1205,ＳＶ,10.0,5400,〇,,,,,,12700,2022-06-27,K-202205-1490,,2022-06-23,7,2022-06-23 20:22:00-->2022-06-23 22:44:00,2022-06-25,〇,×,×,A
25710721000,FPｼｮ-ﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12700,2022-07-04,K-202205-1537,,2022-06-24,1,2022-06-24 07:20:00-->2022-06-24 08:56:00,2022-06-27,〇,×,×,A
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-30,K-202205-1521,,2022-06-24,2,2022-06-24 09:16:00-->2022-06-24 10:23:00,2022-06-30,〇,×,×,A
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15.0,8000,,低,,,,,12700,2022-06-30,K-202205-1476,,2022-06-24,3,2022-06-24 10:43:00-->2022-06-24 12:19:00,2022-06-30,〇,×,×,A
25351521000,MCｼｮ-ﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-30,K-202205-1530,副原料添加多く初回限定,2022-06-24,4,2022-06-24 12:39:00-->2022-06-24 14:09:00,2022-06-30,〇,×,×,A
25351521000,MCｼｮ-ﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-30,K-202205-1531,副原料添加多く初回限定,2022-06-24,5,2022-06-24 14:29:00-->2022-06-24 15:59:00,2022-06-30,〇,×,×,A
25225621870,PVｼﾖ-ﾄEG(H),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-30,K-202205-1487,,2022-06-24,6,2022-06-24 16:19:00-->2022-06-24 17:04:00,2022-06-30,〇,×,×,A
25212521030,ｼﾖ-ﾄﾆﾝｸﾞFJP DIR(3),1205,ＳＶ,15.0,8000,,,,〇,,,8000,2022-06-30,K-202205-1474,,2022-06-24,7,2022-06-24 17:24:00-->2022-06-24 18:24:00,2022-06-30,〇,×,×,A
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-30,K-202205-1481,,2022-06-24,8,2022-06-24 18:44:00-->2022-06-24 20:20:00,2022-06-29,〇,×,×,A
25217722000,ﾁｪｽﾀ-LPV-TL2(18K),1205,ＳＶ,18.0,8000,〇,,,,,,12700,2022-06-30,K-202205-1477,,2022-06-24,9,2022-06-24 20:40:00-->2022-06-24 22:16:00,2022-06-29,〇,×,×,A
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-25,K-202205-1512,,2022-06-25,1,2022-06-25 07:20:00-->2022-06-25 08:56:00,2022-06-25,〇,×,×,A
25130921830,ｼﾖ-ﾄﾆﾝｸﾞAM DIR(S),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-30,K-202205-1465,,2022-06-25,2,2022-06-25 09:26:00-->2022-06-25 11:02:00,2022-06-30,〇,×,×,A
25221523060,ﾆﾕ-ｼﾖ-ﾄ(C)10K(6),1205,ＳＶ,10.0,5400,,,,,,,8000,2022-06-30,K-202206-0039,,2022-06-25,3,2022-06-25 11:52:00-->2022-06-25 13:21:00,2022-06-30,〇,×,×,A
25105621000,ﾊﾟﾈﾘ-PV(12),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-30,K-202205-1442,,2022-06-25,4,2022-06-25 13:51:00-->2022-06-25 14:36:00,2022-06-30,〇,×,×,A
25118721830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF (S),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-30,K-202205-1445,,2022-06-25,5,2022-06-25 15:06:00-->2022-06-25 15:51:00,2022-06-30,〇,×,×,A
25118721810,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF(SS),1205,ＳＶ,15.0,8000,,準高,,,,,4000,2022-06-30,K-202205-1444,,2022-06-25,6,2022-06-25 16:21:00-->2022-06-25 16:51:00,2022-06-30,〇,×,×,A
25126221000,ｽﾃｲﾔ-SA,1205,ＳＶ,15.0,6500,,高,,,〇,,12700,2022-06-28,K-202205-1464,最終限定,2022-06-25,7,2022-06-25 17:21:00-->2022-06-25 19:19:00,2022-06-28,〇,×,×,A
